id,price_min,mean_true
9900,Work In Progess,59.63
873,Work In Progess,63.52
370,Work In Progess,61.5
93096,Work In Progess,61.77
557,Work In Progess,62.86
93095,Work In Progess,60.2
91895,Work In Progess,61.32
931,Work In Progess,62.37
685,Work In Progess,61.88
311,Work In Progess,59.78
498,Work In Progess,61.02
92228,Work In Progess,63.13
252,Work In Progess,59.64
521,Work In Progess,61.63
439,Work In Progess,61.61
626,Work In Progess,62.09
92450,Work In Progess,62.46
193,Work In Progess,62.77
813,Work In Progess,62.15
38,Work In Progess,60.12
567,Work In Progess,62.33
380,Work In Progess,62.6
92129,Work In Progess,63.51
754,Work In Progess,60.26
134,Work In Progess,60.09
508,Work In Progess,62.68
695,Work In Progess,63.03
426,Work In Progess,62.67
952,Work In Progess,62.92
882,Work In Progess,60.71
449,Work In Progess,60.18
91808,Work In Progess,60.37
91809,Work In Progess,59.85
636,Work In Progess,59.74
93122,Work In Progess,60.06
905,Work In Progess,62.82
39,Work In Progess,59.69
390,Work In Progess,61.15
577,Work In Progess,59.57
951,Work In Progess,61.23
764,Work In Progess,63.05
91817,Work In Progess,60.94
331,Work In Progess,63.51
518,Work In Progess,60.12
214,Work In Progess,61.24
705,Work In Progess,61.69
775,Work In Progess,61.41
272,Work In Progess,62.44
459,Work In Progess,61.97
92151,Work In Progess,60.98
810,Work In Progess,60.36
646,Work In Progess,61.7
833,Work In Progess,62.12
94122,Work In Progess,61.96
4,Work In Progess,61.65
40,Work In Progess,61.12
111,Work In Progess,61.79
154,Work In Progess,60.57
692,Work In Progess,59.98
92162,Work In Progess,61.51
96102,Work In Progess,61.52
610,Work In Progess,62.8
715,Work In Progess,61.19
91837,Work In Progess,61.49
785,Work In Progess,59.95
282,Work In Progess,61.84
551,Work In Progess,60.43
20,Work In Progess,61.92
95125,Work In Progess,60.12
656,Work In Progess,61.26
843,Work In Progess,59.55
91842,Work In Progess,60.35
597,Work In Progess,63.09
64619,Work In Progess,59.82
141,Work In Progess,63.14
515,Work In Progess,60.28
64621,Work In Progess,60.27
96118,Work In Progess,61.73
538,Work In Progess,60.6
421,Work In Progess,62.36
95136,Work In Progess,60.4
96121,Work In Progess,59.91
795,Work In Progess,60.85
479,Work In Progess,61.91
92184,Work In Progess,62.59
94153,Work In Progess,62.31
666,Work In Progess,59.91
91858,Work In Progess,62.42
42,Work In Progess,61.93
420,Work In Progess,61.12
95255,Work In Progess,59.53
303,Work In Progess,60.55
95147,Work In Progess,62.4
96132,Work In Progess,62.44
864,Work In Progess,63.01
361,Work In Progess,59.94
548,Work In Progess,61.24
94164,Work In Progess,60.66
735,Work In Progess,62.81
39055,Work In Progess,62.81
922,Work In Progess,59.54
39166,Work In Progess,62.87
758,Work In Progess,60.23
39168,Work In Progess,61.32
95158,Work In Progess,63.26
243,Work In Progess,62.58
910,Work In Progess,60.35
430,Work In Progess,61.18
92315,Work In Progess,59.42
991,Work In Progess,62.24
184,Work In Progess,62.83
39066,Work In Progess,62.67
804,Work In Progess,62.1
371,Work In Progess,63.43
558,Work In Progess,62.81
745,Work In Progess,60.67
95169,Work In Progess,63.17
93635,Work In Progess,62.12
932,Work In Progess,61.93
93309,Work In Progess,60.7
92217,Work In Progess,60.4
93201,Work In Progess,61.33
230,Work In Progess,63.49
253,Work In Progess,62.08
44,Work In Progess,63.48
440,Work In Progess,61.42
627,Work In Progess,60
93644,Work In Progess,60.75
194,Work In Progess,60.02
95180,Work In Progess,62.55
93538,Work In Progess,59.91
568,Work In Progess,62.52
93649,Work In Progess,62.61
755,Work In Progess,62.28
93212,Work In Progess,63.51
135,Work In Progess,63.13
509,Work In Progess,61.54
696,Work In Progess,60.44
93544,Work In Progess,60.27
93543,Work In Progess,59.63
883,Work In Progess,62.21
45,Work In Progess,62.54
93549,Work In Progess,62.25
91909,Work In Progess,59.52
637,Work In Progess,59.54
96069,Work In Progess,60.63
824,Work In Progess,62.06
9815,Work In Progess,62.01
391,Work In Progess,62.82
93664,Work In Progess,62.53
309,Work In Progess,61.69
765,Work In Progess,63.12
95201,Work In Progess,60.43
332,Work In Progess,63.47
519,Work In Progess,59.35
250,Work In Progess,61.19
706,Work In Progess,63.06
893,Work In Progess,59.74
273,Work In Progess,60.5
46,Work In Progess,59.56
460,Work In Progess,60.51
93565,Work In Progess,60.67
647,Work In Progess,63.05
834,Work In Progess,62.33
93569,Work In Progess,59.42
92036,Work In Progess,59.53
67,Work In Progess,61.04
553,Work In Progess,62.76
155,Work In Progess,63.21
92261,Work In Progess,59.68
93246,Work In Progess,61.72
